Item,Preço
Creme Massagem Corporal Cafeina 7 Ativos 650g Dagua Natural,17.9
L'anza Healing Color-preserving Trauma Tratamento 1 Litro,44.15
Oleo Essencial Lemongrass / Capim Limao 10ml Puro Via Aroma ,77.9
Sabão em barra Protex Antibacteriano Aveia de 85 g pacote x 6,34.9
Cera Para Depilação Chocolate Branco Depil Bella 800g,36.9
Imecap Hair Silício Orgânico Cabelos E Unhas C/60 Caps,26.61
Keune Style Straight Cream - Alisador Temporário 200ml,53.06
Gel Clinico Contato Condutor Ultrassom Incolor Bag 5kg Rmc,56.9
Fralda Geriátrica Tena Dermacare Slip Ultra Eg Com 7 Un,9.59
Toalha Descartável Compacta Desidratada Multiuso Pc 50 Un,14.68
Sérum Para Rosacea Pele Sensível Red Off Phytobeauty 50g,72.37
Gel Clínico Contato Condutor Ultrassom Tens Fes  1 Kg Rmc Tipo De Embalagem Frasco,14.68
Invigo Nutri-enrich Máscara De Nutrição 150ml,72.37
Lenço Pano Multiuso Descartável Limpeza Reutilizável 600 Un,99.9
Sabonete Líquido Antibacterial Para As Mãos 1 Litro Rexona,14.03
Kit 100 Escova Dental Descartável Hotel Pet Doação Motel  ,59.9
Navalha Navalhete Barba Barbeiro Acabamento Profissional ,27.99
Sealant Silk 3D Semi Definitiva Orgânica Sem Formol 1000 ml,94.9
Escova Dental Elétrica Oral-B Power 3V,75.48
Shampoo Wella Oil Reflections 250ml,18.27
Creme Corporal Depilatório Masculino 300g  Visual Depil Mais,128.9
Paiolla Escova Progressiva Bambu Sem Formol Kit 2x1000 Ml,58.5
Kit Lamina Dermaplaning Nº 10 + Cabo Bisturi Nº 3 - Biomass,39.9
Kit Acnezil Tratamento Completo Contra Cravos E Espinhas,25.37
Curativo Redondo Blood Stop - Amp - Rolo Com 500 ,54.9
Shampoo Fusion 1l  Wella Professionals,28.9
Siàge Loiro Expert Máscara Matizadora 250g - Protege O Loiro,46.8
Sérum Am-10 Principia 10% Ácido Mandélico + 1% Alfa-arbutin,14.36
Carga De Aparelho Corpo Gillette Mach3 2 Unidades,49.5
Oleo Massoterapia Neutro Corporal 1l Dagua Natural,19.99
Absorvente Protetor Diario Mili 80 Unidades,11.99
Óleo De Citronela Puro Repelente Natural Cavalos Cachorro 1l,62.9
