Item,Preço
Papel Higiênico Mili Atualle Neutro Max Folhas Duplas 12un ,12.61
Sabão em pão Minuano coco  500 g  pacote x 5,20.69
Filme Plástico Para Mascaramento. 4m X 125m,17.9
Tira manchas Vida Macia Roupas Brancas e Coloridas líquido squeeze 500 mL,26.4
Esponja Limpa Garrafas E Mamadeiras Scotch Brite 3m,25.2
Limpa Vidros Liquido Remove Manchas Galão 5 Litros,9.39
"Filme Mascaramento Eletrostático Com Fita Adesiva 1,5m X 20m",4.29
Limpador Diluível Ajax Festa Das Flores Lavanda 1l,8.09
Multiuso Urca Maxx Lavanda Azul 500ml,15.99
Desinfetante Qualitá Lavanda 2 Litros,47.92
Pack Desinfetante Multiuso Cif + Antibac Squeeze 500ml Cada ,39.99
5 Refil Rodo Abrasivo Esponja Lava Limpa Piso Azulejo ,25.9
Limpador Perfumado Coala Concentrado Kit/3 Capim Limão,25.26
Limpador Desngordurante Limpa Grelha Azulim 500ml,12.99
Limpador Tapetes Sofa Estofados Prático Duratto 500ml Spray,47.16
Limpador Pos Obra Sanol Pro 1l,34.35
Toalha De Papel Em Bobina Celulose C/8 20x100m Princesa Full,15.21
Pasta Limpeza Polir Remover Manchas Vidro Ou Vitrocerâmicas,7.56
Limpeza Pesada Azulim Flotador Maximoon Limpa Tudo Spray ,14.9
Limpador De Pisos Perfumes Envolvente 900ml Cif,14.42
Forro De Papel Airfryer Anti Aderente  50 Unidades,10.89
Limpa Porcelanato Sanol Pro 1lt,28.9
Limpador Perfumado Premium Jardim Secreto 1 Litro Ypê,66.5
Esponja Multiuso Para Limpeza Leve Teflon Antiaderente Azul ,22.28
Papel Higiênico Interfolhado Cai Cai Folha Simples 10000 Un,32.9
Anil Líquido Colman 200ml,16.99
Tira Manchas Po Vanish Oxi Advance 390g Roupas Coloridas F,38.85
Sabão Líquido Fragrância Natural Camomila 1l Sétima Geração,135.91
Tira Manchas Em Pó Vanish Oxi Action Refil Econômico 1kg,6.76
Detergente Concentrado P/ Máquina Lavar Louças Prokitchen 5l,17.49
Protetor Pingo Gota Silicone Adesivo Multiuso Móveis 10x4mm,33.59
Tuff Sem Passar ,14.99
Limpa Carpete e Tapete Líquido Vanish Karpex Frasco 500ml,42.9
Bloqueador De Odores Sanitários Especiarias Freecô,21.9
Amaciante Concentrado Frescor Da Primavera 3 Litros Downy,19.95
Sapata Térmica Anti Brilho Especial P/ Ferro De Passar Roupa,33.51
Limpador Spray Cozinha Desengordurante Limão Veja 500ml com 30% de Desconto,9.45
Esponja De Espuma Super Macia De Banho E Lavar Carro Kit C/6,18.9
Papéis toalha Snob Folha Dupla pacote de 2 u,19.9
Bobina Picotada De Saco Plastico 20x30cm - 500 Unidades,39.29
"Lava Roupa Em Pó Tixan Maciez 1,6kg",14.94
Lava Roupas Líquido Qualitá 5 Litros,11.49
Esponja Mágica Melamina Tira Mancha Limpeza Profunda,57.91
Desinfetante Sanitário Harpic 500ml Cloro,14.7
Papel Higiênico Neve Toque De Seda Leve 16 Pague 15 - 16 Rol,25.99
Brilha Inox Azulim Gatilho 500ml Start  Limpa Inox E Cromado,39.9
Água Sanitária Daclor 2 Litros,13.5
Espanador De Pó Pena De Avestruz Grande 66 Cm Tira Poeira Pó,13.65
Limpador Removedor Brasil Perfumado 500ml Multi Uso,9.99
"Papel Alumínio em Rolo Qualitá 30cm x 7,5m",12.59
Protetor Para Fogão Qualitá 27cm X 27cm 12 Unidades,24.99
Desinfetante Para Uso Geral Lavanda Bak Ypê Galão 2l,13.15
Sabão líquido Ola Roupas Escuras e Pretas frasco 1 L,22.9
"Guardanapo de Papel Folha Dupla Snob 32,5cm x 32,5cm Pacote 50 Unidades",49.95
Kit 2 Esponjas Microfibra E 1 Limpa Telas Flashlimp,109.38
Desinfetante Concentrado Max Floral 5 Litros - Audax,5.5
Saco Kraft Ziplock Hermetico Visor Stand Up Pouch 14x22 100p,19.9
Limpador Veja  Gold Campestre Multiuso em squeeze 500ml,60.3
Pote Descartável Redondo C/ Tampa Transparente 250ml - 25un,14.67
Desinfetante Cloro Gel Pro Galão 5 Litros Vim,69.99
Espanador Sintético Nomo Mix Colorido Limpeza Leve Tirar Pó,28.5
Toalhetes desinfetantes Ajax  Fresh Lemon pacote 40 u,78.9
Cera Acetinada Restauração Piso Laminado E Vinílicos1 Litro ,14.49
Sanitizante Frutas E Verdura Startclor 1 Kg Germinicida ,19.88
Saco Metalizado Ziplock Hermetico Visor Stand Up 18x26  50un,5.5
"Guardanapo de Papel Folha Dupla Scott Grand Hotel 31,8cm x 32,8cm Pacote 50 Unidades",16.59
Pedra Harpic Caixa Acoplada Power Ultra Pacote C/ 2unid,11.9
Esponja Limpeza Vegetal Celulose Facial Foffs Ecológica Azul,22.42
Desinfetante Líquido Harpic Active Fresh Lavanda 500ml,25.13
Amaciante De Roupa Concentrado Downy Brisa Intenso 500ml,50.9
